가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수,입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,소득10분위,소득구간,가계지출,소비지출,food,sigar,cloth,life,household,health,traffic,telecom,culture,edu,lodge,service,insurance,도시/읍면부 구분,연차구분,engel,freetime,happy,years
452,1,2,1,0,0,0,1,1,1,1,1,33,5,1,J,2,1,0,0,0,0,0,0,4,1,4,1130,340000,0,65,2,6,4,1352532,971175,109084.5,24310.5,103071.5,54187,13986.5,45046.5,189625,52488,26893,0,269548.5,82934.5,25070,1,2,11.2,2.8,24.7,2
463,1,1,1,0,0,0,1,1,3,1,1,30,6,1,J,3,1,0,0,0,0,0,0,1,1,6,650,5000,500,33,2,3,3,1742840,1584042,97234,26269,204159,546816,3803,283444,85406,79470,6091,0,184451,66899,15292,1,2,6.1,0.4,6.3,2
465,1,2,1,0,0,0,1,2,2,1,2,50,6,1,J,2,1,1,0,0,0,1,0,1,0,4,480,160000,0,49,2,7,5,2522561.5,1057765,52872.5,19175,100850,45065.5,21244,45176.5,56100,45220,137438.5,0,379532.5,155091.5,83947.5,1,6,5,13,259.9,6
476,1,2,2,0,0,0,1,1,3,1,1,26,5,1,J,2,1,0,0,0,0,0,0,1,1,6,820,130000,300,60,2,7,5,1039734.5,790289,73114,7327.5,103956,183134,8475,3966.5,80963.5,90696,59215,0,159366,20075,2425,1,1,9.3,7.5,81,1
481,1,1,1,0,0,0,1,1,3,1,2,52,5,1,J,3,1,0,0,0,0,0,0,4,1,4,800,200000,0,52,2,3,2,1441967,752624,98727,0,103472,100918,22396,46060,150300,43547,40740,0,74658,71806,42750,1,6,13.1,5.4,41.3,6
488,2,2,2,0,0,1,0,1,1,1,1,48,4,1,J,2,5,0,0,0,1,0,0,4,1,6,2000,20000,1900,60,2,7,6,3495199.5,2669956,144846,40875,112676.5,1080177.5,71900.5,86910,165902.5,89663.5,105875.5,0,451961.5,319167.5,27465.5,1,5,5.4,4,73.1,5
507,1,1,1,0,0,0,1,1,3,1,1,29,7,1,J,2,1,0,0,0,0,0,0,1,0,6,540,1000,420,23,2,2,2,1396608,1307005,100485,68303,116950,446031,9163,27488,85872,65558,62898,0,292180,32078,2807,1,2,7.7,4.8,62.6,2
543,1,3,2,0,0,1,0,2,1,1,1,34,6,1,J,1,1,0,0,0,0,0,0,2,1,1,2000,0,0,114,1,10,8,1276755.333,883949.3333,144028.6667,13605,117841.6667,85776.66667,215223,62278.33333,40350,33445.33333,9220,0,75110.66667,87070.33333,49102,1,3,16.3,1,6.4,3
547,1,3,2,0,0,1,0,2,1,1,2,33,6,1,J,3,1,0,0,0,0,0,0,2,1,1,1500,0,0,79,1,8,7,1032656.333,768516.6667,70261,1129.333333,98782.66667,74614.66667,8340.666667,5092.666667,54822.33333,37456.33333,40726,56629.66667,141985.3333,178676.6667,15863,1,2,9.1,5.3,58,2
560,1,3,2,0,0,1,0,2,1,1,1,42,6,1,J,5,1,0,0,0,0,1,0,2,1,1,1500,0,0,140,1,9,8,1911647,1308813.667,103376.6667,0,397333.3333,76520,9666.666667,23333.33333,106146.6667,72160.66667,51894,149500,212340,106542.3333,19515.66667,1,4,7.9,4,50.2,4
568,2,1,1,0,0,0,1,1,3,1,1,23,6,1,J,2,5,0,0,0,0,0,0,5,0,6,504,10000,450,23,2,6,5,2576493,1909827,39267,50733,18333,505633,833,0,199693,131933,121433,0,822067,19900,0,1,1,2.1,6.4,309.2,1
575,1,2,1,0,0,0,1,1,3,1,1,25,6,1,J,3,1,0,0,0,0,0,0,4,0,4,267,80000,0,57,2,3,3,516955.5,431963.5,70897,13908,4237.5,38337.5,10373,36472,57959.5,7700,22415,10937.5,144262.5,14464,0,1,1,16.4,5.2,31.6,1
584,2,1,1,0,0,0,1,1,3,1,1,38,5,1,J,2,5,0,0,0,0,0,0,2,0,1,1125,0,0,85,1,6,4,1421689,986253,135174,4064,31274,162920,730,118680,57760,85610,96155,0,261890,31997,5505,1,3,13.7,9.7,71.1,3
601,1,4,2,0,0,1,0,2,1,1,2,45,6,1,J,3,1,0,0,0,0,0,0,4,1,1,726,0,0,77,1,8,6,869934.25,563379.25,41092.5,8831.25,36613.75,25346.25,1643.75,64422.5,60055.75,34762.5,19784.5,96750,103518.75,70558,64033,1,5,7.3,3.5,48.1,5
646,2,3,3,0,0,1,0,2,1,1,1,66,4,1,J,8,5,0,0,0,0,0,0,1,1,1,800,0,0,132,1,9,7,1262907.667,1025345.667,204298,1026.666667,30244.66667,72201,33339,88171.33333,104637.6667,27850.33333,90096.66667,0,179630.6667,193849.3333,19847.33333,1,6,19.9,8.8,44.1,6
691,1,3,2,0,0,1,0,2,1,1,1,37,6,1,J,3,1,0,0,0,0,0,0,2,1,4,160,290000,0,57,2,8,7,1694006.667,836794.6667,128079,0,30050,56927.66667,20806.33333,187390.3333,82093.33333,47540,28763.33333,0,194540,60604.66667,19008,1,3,15.3,3.4,22.5,3
756,1,2,2,0,0,1,0,1,1,1,1,36,6,1,J,2,1,0,0,0,0,0,0,3,1,2,600,0,0,79,2,10,8,4795227.5,4017550,220459.5,51267,116449,1232249.5,425366.5,88850,1403985.5,76314.5,43502.5,0,250735.5,108371.5,4266,1,3,5.5,1.1,19.7,3
770,1,4,2,0,0,1,0,2,1,1,2,50,6,1,J,3,1,0,0,0,0,0,0,2,1,1,700,0,0,79,1,8,6,1144869.25,762215.5,137013.5,3083,69142.5,41697,7204,66068.75,67194.75,28410.5,79181.75,147347.25,85557.75,30315,7161,1,6,18,10.4,57.8,6
785,1,3,1,0,0,0,1,2,1,1,1,35,5,1,J,7,1,0,0,0,0,0,0,4,1,4,500,150000,0,48,2,6,4,1128528.333,824727.3333,130256,4539,20752,53901,78031.33333,36097.66667,52712,46387.66667,66722.33333,42000,201177.6667,92150.33333,47620.33333,1,3,15.8,8.1,51.2,3
