"","id","long","lat","order","hole","piece","group","location","grocery","leisure","happy","rank_grocery","rank_leisure","rank_happy"
"61",11110,127.01535261,37.58184918,61,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"62",11110,127.01537419,37.58182075,62,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"63",11110,127.01540568,37.58181652,63,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"64",11110,127.0156121,37.58177905,64,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"65",11110,127.01565879,37.58178901,65,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"66",11110,127.01576123,37.58181084,66,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"67",11110,127.01597758,37.58184939,67,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"68",11110,127.01603499,37.58186287,68,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"69",11110,127.01612742,37.58188457,69,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"70",11110,127.01617006,37.5818947,70,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"71",11110,127.0162608,37.58191412,71,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"72",11110,127.01627602,37.58191777,72,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"73",11110,127.01629989,37.58192304,73,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"74",11110,127.01635775,37.58193578,74,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"75",11110,127.01636302,37.58193368,75,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"76",11110,127.01638374,37.58192536,76,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"77",11110,127.01647748,37.58182004,77,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"78",11110,127.01657804,37.58176833,78,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"79",11110,127.01668336,37.58171416,79,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"80",11110,127.01669768,37.58167924,80,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"81",11110,127.01670369,37.58166459,81,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"82",11110,127.01674489,37.5815869,82,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"83",11110,127.01682818,37.58142976,83,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"84",11110,127.0168326,37.58139175,84,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"85",11110,127.01680567,37.58121606,85,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"86",11110,127.01680874,37.58119693,86,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"87",11110,127.01681203,37.58117636,87,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"88",11110,127.016881,37.58110034,88,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"89",11110,127.01689374,37.58109329,89,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"90",11110,127.01692486,37.5810381,90,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"91",11110,127.01692769,37.58101642,91,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"92",11110,127.0168684,37.58087678,92,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"93",11110,127.01688308,37.58086157,93,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"94",11110,127.01691668,37.58084383,94,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"95",11110,127.01692358,37.58083933,95,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"96",11110,127.01693985,37.58083059,96,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"97",11110,127.0169582,37.58082036,97,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"98",11110,127.0170343,37.58077793,98,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"99",11110,127.01712159,37.58073113,99,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"100",11110,127.0171383,37.58072217,100,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"101",11110,127.01714609,37.58071428,101,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"102",11110,127.01715988,37.58069542,102,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"103",11110,127.01725414,37.58056054,103,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"104",11110,127.01727127,37.58055517,104,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"105",11110,127.01727731,37.58055265,105,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"106",11110,127.01728525,37.58046847,106,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"107",11110,127.01729466,37.58041489,107,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"108",11110,127.01730592,37.58035077,108,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"109",11110,127.01730183,37.58028207,109,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"110",11110,127.01730167,37.58027636,110,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"111",11110,127.01730044,37.58026502,111,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"112",11110,127.0173036,37.580248,112,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"113",11110,127.01732102,37.58024217,113,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"114",11110,127.01732801,37.58023984,114,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"115",11110,127.01733331,37.58023758,115,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"116",11110,127.01733919,37.58022148,116,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"117",11110,127.01734904,37.5801945,117,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"118",11110,127.01745425,37.5799943,118,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
"119",11110,127.0174875,37.57992475,119,FALSE,"1","11110.1","종로구",1190,165,13.87,25,1,1
