가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수(휘발유+경우+LPG),입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,가중치(weight),소득10분위코드(전국_전체가구),소득10분위코드(전국_근로자가구),소득10분위코드(전국_근로자외가구),소득10분위코드(도시_전체가구l),소득10분위코드(도시_근로자가구),소득10분위코드(도시_근로자외가구),소득구간,가계지출,소비지출,01. 식료품 · 비주류음료,곡물,곡물가공품,빵 및 떡류,육류,육류가공품,신선수산동물,염건수산동물,기타수산동물가공,유제품 및 알,유지류,과일 및 과일가공품,채소 및 채소가공품,해조 및 해조가공품,당류 및 과자류,조미식품,기타식품,커피 및 차,쥬스 및 기타음료,02. 주류 · 담배,주류,담배,03. 의류 · 신발,직물 및 외의,내의,기타의복,의복관련서비스,신발,신발서비스,04. 주거 · 수도 · 광열,실제주거비,주택유지 및 수선,상하수도 및 폐기물처리,기타주거관련서비스,연료비,05. 가정용품 · 가사서비스,가구 및 조명,실내장식,가구·조명 및 장식서비스,가정용 섬유,가전 및 가정용기기,가전관련서비스,가사용품,가정용공구 및 기타,가사소모품,가사서비스,06. 보건,의약품,의료용소모품,보건의료용품 및 기구,외래의료서비스,치과서비스,기타의료서비스,입원서비스,07. 교통,자동차구입,기타운송기구구입,운송기구유지 및 수리,운송기구 연료비,기타개인교통서비스,철도운송,육상운송,기타운송,기타교통관련서비스,08. 통신,우편서비스,통신장비,통신서비스,09. 오락·문화,영상음향기기,사진광학장비,정보처리장치,기록매체,영상음향 및 정보기기수리,오락문화 내구재,악기기구,오락문화내구재 유지 및 수리,장난감 및 취미용품,캠핑 및 운동관련용품,화훼관련용품,애완동물관련물품,화훼 및 애완동물서비스,운동 및 오락서비스,문화서비스,복권,서적,기타인쇄물,문구,단체여행비,10. 교육,정규교육,초등교육,중등교육,고등교육,학원 및 보습교육,학생학원교육,성인학원교육,기타교육,11. 음식·숙박,식사비,숙박비,12. 기타 상품 및 서비스,이미용서비스,이미용 기기,위생 및 이미용용품,시계 및 장신구,기타개인용품,복지시설,보험,기타금융,기타서비스,비소비지출,경상조세,비경상조세,연금 기여금,사회보험,이자비용,가구간 이전지출,비영리단체로 이전,도시/읍면부 구분,연차구분,engel,freetime,happy,years,,,
159,2,2,2,0,0,1,0,1,1,1,1,32,6,1,J,5,5,0,0,0,0,0,0,4,1,1,840,0,0,60,1,2166.4465,4,,6,4,,6,3,2095860.5,1670368.5,70010,7833.5,4633.5,5150,9207,3261.5,0,0,2723.5,3943.5,0,565,10783.5,415,13048.5,4571.5,2211.5,0,1663.5,7158.5,7158.5,0,517750,491966.5,5400,7791.5,1666.5,10925,0,49983.5,0,3166.5,8360,5000,33456.5,57456.5,4983.5,500,0,833.5,23781.5,14150,1533.5,9926.5,1748.5,0,85966.5,3616.5,0,0,82350,0,0,0,45841.5,0,0,0,23333.5,5250,0,766.5,15425,1066.5,124314,0,48133.5,76180.5,425501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35715.5,0,0,0,666.5,389119,0,0,0,0,0,0,0,0,0,159716.5,159716.5,0,126670,75833.5,0,31466,0,0,0,19370.5,0,0,425492,34348.5,0,61695,59708.5,166356,83333.5,20051,1,2,4.2,25.5,607.8,2,,,
231,2,3,2,0,0,1,0,2,1,1,1,48,6,1,J,2,5,0,0,0,0,0,0,2,1,1,3400,0,0,84,1,5538.1653,7,,8,7,,8,5,1524676.333,1110603.333,202776.6667,6800,8624.666667,15062.66667,33196.66667,8344.666667,825,2088.666667,1827.666667,23632,460,36702,28029,0,19808,2158.666667,6728.666667,3888.333333,4600.666667,0,0,0,27886.66667,13372.66667,2794.333333,1926.666667,0,9792.666667,0,88069,0,0,9904,46301.66667,31863.33333,9747,0,1394.333333,0,2966.666667,0,2777.666667,1636.666667,55.66666667,916,0,66034,12833.33333,2195,0,38722.33333,12283.33333,0,0,91494.33333,0,0,19444.33333,62777.66667,1077.666667,0,5233.333333,2794.333333,166.6666667,73716.33333,0,35386.66667,38329.66667,60567.33333,0,0,0,0,0,0,0,0,2200,333.3333333,406.3333333,333.3333333,0,7377.666667,17744.33333,0,23866.66667,0,1655.666667,6650,339444.3333,0,0,0,0,339444.3333,339444.3333,0,0,85613.33333,80446.66667,5166.666667,65254,7611,941.3333333,10017.66667,277.6666667,5717.333333,0,36438.66667,0,4250,414073.3333,8645,2777.666667,87566,125145,131606,41111,17222.33333,1,5,18.3,5.5,29.9,5,,,
232,1,4,2,0,0,1,0,2,1,1,1,49,6,1,J,2,1,0,0,0,0,0,0,2,1,1,3400,0,0,84,1,2689.3013,10,10,,10,10,,8,2276728.5,1569174.75,98364,7375,3015,7612.5,22954.75,13090,3725,1225,735,4710,0,8032.5,4415.75,0,8650,300,3212.5,0,9311.25,1550,1550,0,62975,49625,4975,0,0,8375,0,72521.25,0,0,8452.5,35598.75,28470,887.5,0,0,0,0,0,0,0,312.5,575,0,11450,4325,0,0,7125,0,0,0,88992.5,0,0,7462.5,35500,0,4625,4575,36830,0,36102.5,0,0,36102.5,41111.25,0,0,1575,0,0,0,0,0,0,0,0,0,0,2625,3625,0,26848.75,0,6437.5,0,791675,113550,0,113550,0,678125,678125,0,0,295720,295720,0,67825.75,11250,0,17844.25,0,6875,0,31856.5,0,0,707553.75,201433.75,0,197347.5,109772.5,125000,56250,17750,1,6,6.3,2.6,41.8,6,,,
233,1,2,2,0,0,0,1,1,3,1,2,35,6,1,J,3,1,0,0,0,0,0,0,2,1,4,3400,850000,0,84,1,7070.5294,10,10,,10,10,,8,3967627,2711091.5,167565,1185.5,8571.5,28755.5,4013.5,0,3914.5,1557,3862,10635,600,30004.5,6345,1785.5,9845,2143,6918.5,46564.5,864.5,97655.5,97655.5,0,499128,276228.5,3571.5,18714.5,0,200613.5,0,147759.5,0,0,22578,69431.5,55750,68792,16357,4335.5,0,5203.5,0,34650,0,785.5,7460,0,54215.5,39728.5,7087,4285.5,3114.5,0,0,0,296478.5,0,0,4285.5,94714.5,11264.5,3700,173878.5,7835.5,800,79257,0,0,79257,438408,0,0,357,0,0,0,0,0,0,0,7500,156336.5,186885.5,9185.5,55007.5,0,20521.5,0,2614.5,0,42857,0,0,0,0,42857,0,42857,0,497370,497370,0,321605,84714.5,0,104059.5,0,1127.5,0,51075.5,0,80628.5,1256535.5,522843,0,105878.5,242100,0,85714.5,300000,1,3,6.2,16.2,261.6,3,,,
234,1,2,1,0,0,0,1,2,3,1,1,37,7,1,J,2,1,0,0,0,0,0,0,2,0,1,1800,0,0,59,1,3253.2176,6,5,,5,5,,4,1542161.5,1116087.5,189891.5,10675,6960,7750,22899,1537.5,3937.5,7237.5,5250,6772.5,4687.5,10975,37132.5,1235,1375,36937.5,11894,2937.5,9699,75000,0,75000,105549,40824,5187.5,1250,3412.5,49375,5500,111195,0,0,9035,61649,40511.5,19511.5,0,0,0,375,5737.5,0,1099,1669,10006.5,625,148812.5,135475,0,0,8812.5,4525,0,0,52756.5,0,0,0,0,0,0,1625,47506.5,3625,39055,275,1925,36855,48516.5,0,0,0,0,0,0,0,0,0,250,0,0,0,0,15104,0,0,0,0,33162.5,0,0,0,0,0,0,0,0,0,281725,281725,0,44076.5,3750,0,26922.5,0,0,0,12979,0,425,426074,115380,0,121962.5,77895,6461.5,62500,41875,1,3,17,4.3,25.5,3,,,
248,1,1,1,0,0,0,1,1,3,1,2,29,7,1,J,3,1,0,0,0,0,0,0,1,0,6,460,6000,440,23,2,5744.9502,4,2,,3,2,,3,1820023,1590238,230469,0,25798,67320,0,0,0,0,2283,2203,0,0,0,0,44417,0,55671,22315,10462,66450,1500,64950,40902,32935,3167,3650,0,1150,0,530082,440000,0,0,51667,38415,6917,2533,1900,0,667,0,0,0,333,1483,0,156577,26835,0,3333,126408,0,0,0,177903,0,0,0,0,0,0,105713,59342,12848,44833,0,0,44833,42423,0,0,0,11650,0,0,0,0,0,0,583,0,0,0,14536,0,1903,4250,9500,0,0,0,0,0,0,0,0,0,0,244810,244810,0,48873,0,0,12688,20133,12218,0,0,0,3833,229785,25345,0,80625,78660,31821,13333,0,1,2,14.5,2.7,18.4,2,,,
252,1,1,1,0,0,0,1,1,3,1,1,39,4,1,J,3,1,0,0,0,0,0,0,1,1,6,593,1000,590,23,1,4438.3572,3,2,,3,2,,2,4050249,2822912,92684,4520,5564,16410,0,788,0,0,2630,12112,480,5900,5026,836,6032,1728,21214,7164,2280,800,800,0,69052,57140,0,400,0,11512,0,680206,590000,5000,0,60000,25206,55500,0,0,44000,0,0,11000,0,0,500,0,236800,17020,0,102900,21880,0,95000,0,287890,0,0,0,120330,94180,23080,27500,21900,900,112293,536,3800,107957,82844,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,77144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592745,513260,79485,612099,17800,0,95709,0,422660,0,75210,0,720,1227337,55892,820000,78750,72695,200000,0,0,1,4,3.3,2.9,89.4,4,,,
258,1,1,1,0,0,0,1,1,3,1,2,36,6,1,J,2,1,0,0,0,0,0,0,1,0,6,390,90000,120,40,2,3724.8023,5,4,,5,4,,4,2117050,1575830,235158,0,2450,18950,16038,3150,0,0,1750,33935,2000,67088,24475,0,34808,988,7500,0,22028,1125,1125,0,265965,181325,43750,27750,0,13140,0,160338,120000,0,11900,0,28438,27750,0,0,0,0,0,0,2750,0,25000,0,62143,25168,5350,0,31625,0,0,0,67500,0,0,0,0,0,7525,21900,38075,0,69340,0,0,69340,78530,0,0,0,0,0,0,0,0,0,5960,24125,0,0,28000,7750,0,12695,0,0,0,0,0,0,0,0,0,0,0,0,380175,380175,0,227807,12500,0,175051,27472,0,0,12784,0,0,541220,131890,0,139500,112830,115750,41250,0,1,3,14.9,5,33.4,3,,,
259,1,1,1,0,0,0,1,1,3,1,2,28,6,1,J,3,1,0,0,0,0,0,0,1,0,6,440,90000,170,50,2,3724.8023,4,3,,4,3,,3,2088328,1829098,224313,0,11790,6025,37920,2250,850,3000,1113,32625,6000,45400,28068,5625,24263,3573,1000,0,14813,0,0,0,168475,98000,17750,5000,6000,39225,2500,213013,170000,0,6500,0,36513,49463,21725,0,0,0,8813,0,9750,0,9175,0,130358,13000,3005,0,114353,0,0,0,254725,0,0,0,0,0,196275,38450,20000,0,35428,0,0,35428,7375,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,4875,0,0,0,0,0,288375,0,0,0,0,288375,0,288375,0,272000,230000,42000,185575,48000,0,65500,6250,49005,0,16820,0,0,259230,35725,0,109030,109475,0,5000,0,1,1,12.3,0.4,3.3,1,,,
264,1,1,1,0,0,0,1,1,3,1,1,29,6,1,J,3,1,0,0,0,0,0,0,1,1,6,600,10000,500,30,2,4284.9787,4,3,,4,3,,3,2539845,2153761,49596,0,2180,12464,2000,2258,0,0,3112,2900,0,1102,0,0,7000,0,9432,5028,2120,66992,4122,62870,303560,281640,0,1920,0,15800,4200,547204,500000,0,14200,0,33004,7644,0,0,0,0,0,0,2200,0,5444,0,158320,4380,0,153000,940,0,0,0,230600,0,0,4400,128000,48938,21000,23470,4014,778,84848,0,0,84848,123920,0,0,0,0,0,0,0,0,14960,0,16000,10400,24000,46360,12200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512568,512568,0,68509,39600,0,11360,0,0,0,17549,0,0,386084,46994,0,113220,103870,0,122000,0,1,2,2.3,5.8,249.9,2,,,
