가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수(휘발유+경우+LPG),입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,가중치(weight),소득10분위코드(전국_전체가구),소득10분위코드(전국_근로자가구),소득10분위코드(전국_근로자외가구),소득10분위코드(도시_전체가구l),소득10분위코드(도시_근로자가구),소득10분위코드(도시_근로자외가구),소득구간,가계지출,소비지출,01. 식료품 · 비주류음료,곡물,곡물가공품,빵 및 떡류,육류,육류가공품,신선수산동물,염건수산동물,기타수산동물가공,유제품 및 알,유지류,과일 및 과일가공품,채소 및 채소가공품,해조 및 해조가공품,당류 및 과자류,조미식품,기타식품,커피 및 차,쥬스 및 기타음료,02. 주류 · 담배,주류,담배,03. 의류 · 신발,직물 및 외의,내의,기타의복,의복관련서비스,신발,신발서비스,04. 주거 · 수도 · 광열,실제주거비,주택유지 및 수선,상하수도 및 폐기물처리,기타주거관련서비스,연료비,05. 가정용품 · 가사서비스,가구 및 조명,실내장식,가구·조명 및 장식서비스,가정용 섬유,가전 및 가정용기기,가전관련서비스,가사용품,가정용공구 및 기타,가사소모품,가사서비스,06. 보건,의약품,의료용소모품,보건의료용품 및 기구,외래의료서비스,치과서비스,기타의료서비스,입원서비스,07. 교통,자동차구입,기타운송기구구입,운송기구유지 및 수리,운송기구 연료비,기타개인교통서비스,철도운송,육상운송,기타운송,기타교통관련서비스,08. 통신,우편서비스,통신장비,통신서비스,09. 오락·문화,영상음향기기,사진광학장비,정보처리장치,기록매체,영상음향 및 정보기기수리,오락문화 내구재,악기기구,오락문화내구재 유지 및 수리,장난감 및 취미용품,캠핑 및 운동관련용품,화훼관련용품,애완동물관련물품,화훼 및 애완동물서비스,운동 및 오락서비스,문화서비스,복권,서적,기타인쇄물,문구,단체여행비,10. 교육,정규교육,초등교육,중등교육,고등교육,학원 및 보습교육,학생학원교육,성인학원교육,기타교육,11. 음식·숙박,식사비,숙박비,12. 기타 상품 및 서비스,이미용서비스,이미용 기기,위생 및 이미용용품,시계 및 장신구,기타개인용품,복지시설,보험,기타금융,기타서비스,비소비지출,경상조세,비경상조세,연금 기여금,사회보험,이자비용,가구간 이전지출,비영리단체로 이전,도시/읍면부 구분,연차구분,engel,freetime,happy,years,,,
1229,1,3,2,0,0,1,0,2,1,1,1,53,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1500,0,0,179,1,882.5777,10,10,,10,10,,8,4658553,2167011,469575,3333.333333,28863.33333,47530,29248.33333,21626.66667,7026.666667,2660,746.6666667,20033.33333,17863.33333,178113.3333,16976.66667,946.6666667,14320,4483.333333,46376.66667,19303.33333,10123.33333,16445,8445,8000,49000,0,0,3333.333333,45666.66667,0,0,178194,0,0,24045.66667,86403.33333,67745.33333,177709.3333,0,0,0,0,39833.33333,63867.66667,13666.66667,0,60341.66667,0,464925,109203.3333,5688.333333,0,203916.6667,146116.6667,0,0,155350,0,0,33333.33333,63333.33333,58683.33333,0,0,0,0,49003.33333,0,0,49003.33333,164783.3333,0,0,0,0,0,0,0,38333.33333,0,60000,0,0,0,0,5833.333333,0,0,5500,55116.66667,0,20000,0,0,0,0,10000,0,10000,10000,201950,201950,0,220076,15000,0,66060,0,3416.666667,0,135599.3333,0,0,2491542.333,730963.3333,11308.33333,220733.3333,129150,383986.3333,666666.6667,348734.3333,1,6,21.7,7.6,35.1,6,,,
1240,2,1,1,0,0,0,1,1,3,1,2,37,5,1,J,2,5,0,0,0,0,0,0,6,1,6,463,20000,250,24,2,4064.5256,1,,2,1,,2,1,2312440,2193158,166570,1000,22450,15694,0,821,2056,641,6680,983,1343,19537,7889,570,35281,2931,23587,1000,24106,0,0,0,534190,522219,0,0,5714,6257,0,338995,250000,0,12710,45024,31261,23611,0,0,0,3957,0,0,7786,1571,10297,0,525276,235246,4363,1286,284381,0,0,0,65986,0,0,1000,17143,7714,743,37814,0,1571,70778,0,0,70778,32105,0,0,2820,0,0,1129,0,0,143,2414,2143,0,0,0,12345,0,7783,0,3329,0,0,0,0,0,0,0,0,0,0,232393,217940,14453,203254,41429,0,117561,9186,143,0,34936,0,0,119281,15510,0,89363,14409,0,0,0,1,3,7.6,1.5,19.3,3,,,
1401,1,3,2,0,0,1,0,2,1,1,1,36,5,1,J,3,1,0,0,0,0,0,0,2,1,1,1185,0,0,59,1,3960.3766,10,9,,9,9,,8,2210730.333,1366559,122038.6667,9408.333333,7567,20027,17061.66667,935,3827,2287.666667,461.6666667,8196.666667,1196,16510,2042,1138.666667,12887,566.3333333,6790,2537.666667,8599.333333,4481.333333,4481.333333,0,218634.3333,190621.6667,7465,1606.333333,0,18941.33333,0,42577.66667,0,5408.333333,5627,19952.66667,11590,47010,771,0,0,973.3333333,13636.66667,0,5496.333333,22062.66667,4070.333333,0,322870.3333,42199.33333,8370.333333,1275,49359.33333,74379.33333,0,147287.6667,51712.66667,0,0,2500,10000,4208.333333,54.33333333,22279.33333,12496,175,31436.66667,0,325,31111.66667,28817.66667,0,412.6666667,0,0,0,0,0,0,3966,3328.666667,1083.333333,0,0,2871,16864.66667,0,0,0,291.6666667,0,16666.66667,0,0,0,0,16666.66667,0,16666.66667,0,314400,314400,0,165913.3333,26412.66667,0,14976,202,3701.333333,58333.33333,33875.66667,0,28412.66667,844171.3333,295702,0,70073,95976,229103,153317.6667,0,1,3,8.9,2.1,23.6,3,,,
1403,1,1,1,0,0,0,1,1,3,1,2,42,6,1,J,2,1,0,0,0,0,0,0,2,0,1,1185,0,0,59,1,6527.3868,7,6,,7,6,,5,2388713,1515709,211324,0,16679,26963,7317,4045,0,5801,11165,15485,0,62593,11331,3081,20858,1775,15208,1427,7595,3514,3514,0,66293,56574,0,3673,5136,909,0,118633,0,0,12709,58028,47896,42181,0,0,0,0,29139,0,2418,709,9915,0,67836,5427,6445,0,55964,0,0,0,208981,0,0,0,0,1000,845,25869,163812,17455,35943,0,900,35043,206007,0,0,0,0,0,0,0,0,8029,19123,0,0,0,61914,36670,227,0,1273,455,78317,10909,0,0,0,0,10909,0,10909,0,411545,357399,54145,132544,12909,0,42089,473,1264,0,74219,0,1591,873005,274842,0,205114,194640,0,168409,30000,1,4,13.9,13.6,97.5,4,,,
1415,1,3,2,0,0,1,0,2,1,1,1,34,5,1,J,7,1,0,0,0,0,0,0,1,1,2,350,0,0,50,1,2928.0861,9,8,,9,8,,7,1187950,762440,123224,2692.666667,5858.333333,7890,22515,4338,5902.333333,1687.666667,5675.333333,8761.666667,1073.333333,8291.333333,7045,542.6666667,20985.33333,2362.666667,8350,2092.333333,7160.333333,20426.66667,20426.66667,0,57581.66667,44677.66667,10215.66667,860.6666667,0,1827.666667,0,134201,112160,166.6666667,4366.666667,0,17507.66667,12819,0,2777.666667,0,883.3333333,0,3266.666667,733.3333333,1116,4041.666667,0,66101.66667,41960.66667,1436.666667,0,20376.66667,2327.666667,0,0,63573.33333,0,0,4055.666667,36111,13422.33333,0,1090,8894.333333,0,27514,0,0,27514,36920,0,0,0,0,0,0,0,0,12374,1008.333333,1666.666667,0,0,5555.666667,12687.33333,1527.666667,401,0,1699.333333,0,18833.33333,0,0,0,0,11550,0,11550,7283.333333,117252.3333,108363.3333,8889,83992.66667,10905.66667,0,20701,611,444.3333333,6611,42252.66667,244.3333333,2222.333333,425510,68956,1777.666667,105743.3333,84838.33333,0,153139,11055.66667,1,3,16.2,4.8,30,3,,,
1474,1,2,1,0,0,0,1,1,1,1,1,61,6,1,J,2,1,0,0,0,0,0,0,2,2,1,900,0,0,84,1,1110.2434,7,6,,7,6,,6,2471186.5,1811759.5,304976,500,4113,19874,47565,1560,26500,20214,2920,14133,3600,26441,39058,31141,12929,35350,4287,9732,5059,34725,3225,31500,103059,70479,2580,11100,7000,10800,1100,110001,0,0,4844,84137,21020,106085,0,0,0,2300,19000,0,6200,9710,4680,64195,404513,375520,0,1000,27993,0,0,0,142740.5,0,20000,20500,83190.5,9595,250,1980,3425,3800,36845.5,0,0,36845.5,247500,0,0,62000,0,0,0,0,0,0,10100,0,0,0,0,2570,0,1080,0,150,171600,0,0,0,0,0,0,0,0,0,100310,100310,0,221004.5,34100,0,2000,0,2600,0,161774.5,0,20530,659427,51311,0,0,34016,0,490000,84100,1,6,16.8,13.7,81.2,6,,,
1602,1,2,1,0,0,0,1,1,1,1,1,45,6,1,J,2,1,0,0,0,0,0,0,2,1,1,800,0,0,60,1,1049.7862,7,6,,7,6,,5,1540449.5,987083,96969.5,3700,4293,22719,14999.5,1273,2400,1480,2210,4450,928,6966,3399,448,9761,3654,7061,1682,5546,4063,4063,0,90511,59535,0,7298,0,23678,0,104590,0,20100,9150,37135,38205,68438,0,0,0,13980,0,21950,20282,0,12226,0,77881.5,6848,2988,14500,53545.5,0,0,0,110060,0,0,0,100000,0,0,560,9500,0,28805.5,0,0,28805.5,37924.5,0,0,0,0,0,0,0,0,0,9790,0,22998.5,0,0,5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268945,268945,0,98894.5,2400,0,51731,1800,0,0,42963.5,0,0,553366.5,224424,0,101025,94917.5,81000,50000,2000,1,5,9.8,3.8,39.1,5,,,
1635,1,4,1,0,0,0,1,2,1,1,1,45,6,1,J,5,1,0,0,0,0,0,0,2,1,1,900,0,0,84,1,1010.2579,7,6,,7,6,,5,621651.5,378925.5,72020,7466.75,5739.25,6423.25,4966.75,2695,4497.5,333.25,3933.25,10522.5,0,9736.75,5655,250,3018.25,2337.5,3651.75,475,318.25,1457.5,1457.5,0,8610.75,8000,0,0,610.75,0,0,30780.75,0,0,2670.75,19610.75,8499.25,500,0,0,0,0,0,0,0,0,500,0,11250,2916.75,0,0,8333.25,0,0,0,72541.75,0,0,28750,29166.75,0,3208.25,2250,9166.75,0,14903.25,0,0,14903.25,8983.25,0,0,0,0,0,0,0,0,500,0,0,0,0,0,2750,0,3083.25,0,2650,0,53797.5,0,0,0,0,30416.75,30416.75,0,23380.75,72483.25,72483.25,0,31597.25,3666.75,0,1733.25,0,0,0,26197.25,0,0,242725.75,75807.5,0,72975,48110,0,45833.25,0,1,5,19,2.4,12.5,5,,,
1712,2,1,1,0,0,0,1,1,3,1,2,48,5,1,J,2,7,0,0,0,0,0,0,2,1,5,90,25000,90,53,2,3547.7519,3,,5,3,,5,3,1653112,990024,246238,6300,37934,11843,664,8979,0,0,5329,30036,884,9571,23485,2779,23820,10730,39880,16204,17800,800,800,0,20443,12300,0,3900,0,4243,0,189960,76834,0,9656,44296,59174,172792,12111,8714,0,0,90000,30229,9537,3243,18958,0,24313,17884,6429,0,0,0,0,0,17486,0,0,0,12857,0,0,0,0,4629,80997,0,0,80997,51670,0,0,0,0,0,0,0,0,6434,5037,2386,14751,4286,429,18219,0,0,0,129,0,0,0,0,0,0,0,0,0,0,99114,99114,0,86211,4143,8571,33743,0,371,0,39097,0,286,663088,71199,9829,44800,45490,60056,347429,84286,1,5,24.9,5.2,21,5,,,
1737,1,3,2,0,0,1,0,2,1,1,1,46,7,1,J,3,1,0,0,0,0,1,0,1,1,6,400,10000,400,66,1,263.748,9,8,,9,8,,7,1848771,1390036,201406.6667,18666.66667,4160,29300,61066.66667,3166.666667,1633.333333,0,2396.666667,21083.33333,0,7786.666667,9853.333333,5653.333333,15413.33333,2653.333333,2830,3566.666667,12176.66667,33333.33333,0,33333.33333,58566.66667,18646.66667,19926.66667,17326.66667,2666.666667,0,0,181023.3333,133333.3333,13333.33333,16713.33333,0,17643.33333,12700,0,0,0,0,0,5633.333333,0,666.6666667,6400,0,3000,3000,0,0,0,0,0,0,102183.3333,0,0,0,66666.66667,0,16800,13300,5416.666667,0,77796.66667,0,0,77796.66667,128470,0,0,0,0,0,0,2333.333333,0,733.3333333,0,0,0,0,19000,5400,0,93200,0,7803.333333,0,229666.6667,0,0,0,0,229666.6667,229666.6667,0,0,293533.3333,293533.3333,0,68356,0,0,15200,0,0,0,53156,0,0,458735,15333.33333,0,84990,40333.33333,121311.6667,196766.6667,0,1,5,14.5,9.2,63.8,5,,,
1755,1,3,3,0,0,1,0,2,1,1,1,64,4,1,J,3,1,0,0,0,0,0,0,2,3,1,440,0,0,59,1,1907.5278,10,10,,10,10,,8,1965169,1278453.667,190251.6667,866,2176.666667,6902.666667,48773.66667,666.6666667,27239.33333,8666.666667,4200,3212.666667,1666.666667,35576.66667,31700,10199.33333,3136,1223.333333,1199.333333,775.3333333,2070.666667,22966.66667,600,22366.66667,90500.66667,59186.66667,3800,5333.333333,9920.666667,12260,0,128291.3333,0,51200,9114.666667,26923.33333,41053.33333,121361.3333,86413.33333,0,0,22000,0,0,4586.666667,526,3835.333333,4000,170196,9866.666667,1906.666667,1800,33396,123226.6667,0,0,170874,0,0,12579.33333,153694.6667,4266.666667,333.3333333,0,0,0,44035.33333,132,0,43903.33333,130007.3333,0,0,60000,0,0,0,0,0,0,0,3333.333333,0,0,19200,9140.666667,0,1666.666667,0,0,36666.66667,0,0,0,0,0,0,0,0,0,111226,111226,0,98743.33333,12300,0,11988.66667,0,1866.666667,0,72588,0,0,686715.3333,196330,0,134864,117188,0,153333.3333,85000,1,6,14.9,10.2,68.3,6,,,
1795,2,3,3,0,0,1,0,2,1,1,1,50,4,1,J,7,5,0,0,0,0,0,1,2,0,4,1250,250000,0,115,1,324.964,6,,7,6,,7,5,7364188.333,7197521.667,236776.6667,10633.33333,7436.666667,34650,17833.33333,6833.333333,14966.66667,6766.666667,14823.33333,1660,0,16826.66667,40503.33333,2646.666667,16866.66667,6676.666667,24796.66667,5070,7786.666667,11100,8100,3000,40186.66667,15800,0,0,24386.66667,0,0,1471590,0,1333333.333,18933.33333,72133.33333,47190,3695843.333,1170743.333,0,0,9966.666667,1886666.667,0,361633.3333,38500,11166.66667,217166.6667,6600,0,1500,0,0,5100,0,0,478658.3333,0,0,0,0,0,1666.666667,1100,9225,466666.6667,43728.66667,0,0,43728.66667,121694,0,0,0,0,0,0,0,0,0,0,0,0,0,101333.3333,20227.33333,0,0,0,133.3333333,0,0,0,0,0,0,0,0,0,0,209733.3333,209733.3333,0,881610.6667,11666.66667,0,33600,0,34500,0,377.3333333,0,801466.6667,166666.6667,0,0,50000,100000,0,10000,6666.666667,1,6,3.3,1.7,51.4,6,,,
1812,1,2,2,0,0,1,0,1,1,1,1,42,6,1,J,2,1,0,0,0,0,0,0,2,1,1,750,0,0,84,1,1780.5979,7,6,,7,6,,5,2025745.5,1306869,211648,14520.5,25918,19973,12565.5,10385.5,3428.5,2657,2562,11580.5,1688,15424.5,14999.5,1077,15948.5,12637,28811.5,11571.5,5900,27085,9142,17943,139013.5,57142,3600,42710,0,35561.5,0,90740,0,0,13483.5,45281.5,31975,85594.5,8045,2963,0,17005.5,28626.5,5178,8615.5,2701.5,12366.5,93,41781,16124,928.5,2035.5,5835.5,16857,0,0,89246.5,0,0,9278.5,64285.5,7943,2946.5,3793,714.5,285.5,81079.5,0,31193,49886.5,160552,3071.5,0,97527,8048.5,0,29278.5,0,0,1374.5,2235.5,3357,0,0,9285.5,6217,0,0,0,156.5,0,0,0,0,0,0,0,0,0,0,280471.5,280471.5,0,99657,8285.5,0,10933.5,1420.5,20985.5,0,40110,128.5,17793,718876.5,89698.5,0,92166,92731.5,292138,121428.5,30714.5,1,4,16.2,12.3,75.9,4,,,
1897,1,4,1,0,0,0,1,2,1,1,1,56,6,1,J,7,1,0,0,0,0,0,0,2,1,1,1830,0,0,121,1,2487.3493,7,6,,6,6,,5,1099656,860107,101828.25,2980,5821.75,8960.5,16537.5,5143,3333.25,1291.75,2189.5,4574.25,1495.75,14677,11159.5,658.25,11823.25,1631.75,1726.25,200,7625,203.25,203.25,0,55495.75,45783.25,575,0,4183.25,4954.25,0,54797.5,0,0,6612,24300,23885.5,10645,0,0,0,0,0,6354.25,1695.75,208.25,2386.75,0,38258.25,27675,1500,0,8445.75,637.5,0,0,77935.5,0,0,0,56833.25,0,4823,258.25,16020.75,0,27886,0,0,27886,37459.5,0,0,0,0,4083.25,0,0,0,0,0,1250,0,0,2725,13405,0,14142,0,1854.25,0,237500,237500,0,0,237500,0,0,0,0,122708.25,122708.25,0,95389.25,4729.25,0,28679.25,0,6358.25,0,39568.5,0,16054.25,239549.25,32163.25,0,39290.75,38740.75,0,102500,26854.25,1,6,11.8,4.4,36.8,6,,,
1952,1,1,1,0,0,0,1,1,3,1,2,40,5,1,J,3,1,0,0,0,0,0,0,1,0,4,350,50000,0,50,2,2744.3795,3,2,,3,2,,2,1344884,971976,122310,4360,14342,24340,1054,7090,0,0,5866,2744,0,8036,14242,2994,11480,2410,16128,3640,3584,0,0,0,25302,6460,2292,1590,0,14960,0,66954,0,12632,696,50000,3626,274278,50240,3152,0,11804,128800,0,13080,6800,60402,0,78946,54046,3780,8000,13120,0,0,0,67730,0,0,0,0,200,0,0,59730,7800,81668,0,5320,76348,41880,8024,0,2880,0,0,0,0,0,16700,0,0,0,0,0,12096,500,0,0,1680,0,0,0,0,0,0,0,0,0,0,111910,111910,0,100999,200,0,28362,7480,0,0,58759,0,6198,372908,19424,0,74880,70940,37964,144300,25400,1,4,12.6,4.3,34.2,4,,,
1979,1,3,1,0,0,0,1,2,1,1,1,47,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1000,0,0,85,1,286.0496,8,8,,8,8,,7,2068566.333,1506619.333,131433.3333,0,7580,37183.33333,12600,0,0,4266.666667,0,12243.33333,0,23420,3353.333333,2630,11536.66667,333.3333333,6000,3523.333333,6763.333333,0,0,0,118663.3333,84140,0,34523.33333,0,0,0,69353.33333,0,0,4706.666667,26633.33333,38013.33333,14700,0,0,0,0,0,0,5633.333333,0,9066.666667,0,26466.66667,1200,0,0,25266.66667,0,0,0,171733.3333,0,0,0,165000,6733.333333,0,0,0,0,29620.66667,0,0,29620.66667,50193.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32953.33333,0,15640,0,1600,0,478333.3333,0,0,0,0,478333.3333,478333.3333,0,0,318260,318260,0,97862,38666.66667,0,15966.66667,0,0,0,43228.66667,0,0,561947,38333.33333,10666.66667,66666.66667,61666.66667,61280.33333,316666.6667,6666.666667,1,5,8.7,3.3,38.2,5,,,
2134,2,1,1,0,0,0,1,1,3,1,1,25,5,1,J,2,5,0,0,0,0,0,0,6,0,7,250,0,250,26,2,756.9784,2,,4,2,,4,2,1160290,1043790,52265,0,5395,6550,3495,10480,0,0,0,2690,0,1500,0,0,3000,1095,9290,4300,4470,0,0,0,223500,220000,0,3500,0,0,0,260310,200000,3000,10310,20000,27000,16450,0,0,0,0,8950,0,0,7500,0,0,2000,1500,500,0,0,0,0,0,31500,0,0,0,0,0,0,0,30500,1000,53440,0,0,53440,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372550,372550,0,21375,0,0,8840,0,0,0,12535,0,0,116500,0,0,0,82500,34000,0,0,1,1,5,1,19.9,1,,,
2159,1,4,2,0,0,1,0,2,1,1,1,44,6,1,J,3,1,0,0,0,0,0,0,2,2,4,1700,390000,0,153,2,3728.5482,8,7,,8,7,,6,1331718,1065793.75,111410.5,3981,7062,6706.5,9796.5,10434.75,2362,2065.25,1206,6109.5,752.5,14144.75,8183.5,635.25,9491,1224.75,16504,2155.75,8596,3376.25,3376.25,0,89387,72541.75,5797.75,2253.25,125,8669.25,0,85681,0,213.5,7759.75,28937.5,48770.25,21779.75,1562.5,0,0,3547,4656.25,1906.25,2218.75,1008.5,6880.75,0,20508.75,5699.75,5054,8323.75,1431.25,0,0,0,168840.25,0,0,24899,115862.75,2656.25,11140.75,1382,12790.25,109.5,38214.75,193.25,0,38021.5,131176,0,0,0,0,0,0,0,0,2400,19300,1906.25,0,0,28307.75,28009.25,0,4584.5,0,3731,42937.5,148848.5,0,0,0,0,141286,126286,15000,7562.5,158147.75,156335.25,1812.5,88423.5,18297,2500,14836,1167.75,2297,0,49285,7,34.5,265924.5,55978.25,2673.75,48375,41710,47500,65625,4062.5,1,5,10.5,12.3,117.7,5,,,
2222,2,3,2,0,0,1,0,2,1,1,1,49,6,1,J,2,5,0,0,0,0,0,1,2,1,1,1550,0,0,103,1,362.3431,6,,7,6,,7,5,1040929.333,912722.6667,266250.6667,16300,11296.66667,9336.666667,34963.33333,35720,20700,5663.333333,4723.333333,7516.666667,0,28993.33333,4386.666667,3663.333333,54404,8726.666667,15330,2966.666667,1560,6333.333333,6333.333333,0,81914,45333.33333,8180.666667,7666.666667,0,20733.33333,0,71611,0,0,4506.666667,44590,22514.33333,196836.6667,0,0,0,0,0,0,3503.333333,193333.3333,0,0,39100,5466.666667,0,32333.33333,1300,0,0,0,67466.66667,0,0,0,50000,0,17466.66667,0,0,0,68120,0,0,68120,11333.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.3333333,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,53533.33333,53533.33333,0,50223.66667,4333.333333,0,0,0,0,0,45890.33333,0,0,128206.6667,0,0,42793.33333,85413.33333,0,0,0,1,6,29.2,1.2,4.3,6,,,
2259,2,4,2,0,0,1,0,2,1,1,1,40,5,1,J,2,5,0,0,0,0,0,0,2,1,1,1447,0,0,85,1,2761.3663,6,,7,6,,7,4,576834.75,491508,82436.25,7008.25,6111.75,4408.75,9305.75,1567,412.5,1416.25,3007,5870.75,287.5,14328,4361.25,597.5,11488.75,1870.75,6750.5,1027.5,2616.25,13872,13872,0,22562.5,14754.25,737.5,2362.5,0,4708.25,0,64643.75,0,0,14968.75,23128,26547,12588.75,56.25,0,0,0,0,5750,870.75,1445.75,4465.75,0,14401.75,6554.25,4135,0,3712.5,0,0,0,22988.75,0,0,166.75,22634.5,187.5,0,0,0,0,31904.5,0,0,31904.5,14818.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10720.75,0,0,0,4098,0,101666.75,0,0,0,0,101666.75,101666.75,0,0,104374.5,102291.25,2083.25,5249.75,2041.75,0,2195.75,416.75,208.25,0,387.25,0,0,85326.75,7681.75,2666.75,14000,52645,0,8333.25,0,1,4,16.8,3,18,4,,,
2291,1,2,2,0,0,1,0,1,1,1,1,40,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1500,0,0,85,1,2253.1887,10,10,,10,10,,8,2944098.5,1550341.5,117678.5,3333.5,4316,6565,7621.5,0,2800,5395.5,4348.5,11368.5,721,16255,13841.5,1666.5,14735.5,2091,3073.5,14129,5417.5,16702.5,16702.5,0,127811,103068,4333.5,4666.5,8466.5,7276.5,0,116695,0,0,15415,46704,54576,133036.5,0,0,0,13500,99016.5,2833.5,6938.5,2301.5,8446.5,0,68802.5,34680,4208.5,0,29914,0,0,0,253372.5,0,0,61513.5,107075.5,53613,4412.5,4679,22079,0,21159.5,0,0,21159.5,140528,12273.5,0,5452,0,0,0,0,0,0,0,6666.5,0,24282,0,79511.5,0,0,0,416.5,11926,38916.5,0,0,0,0,38916.5,0,38916.5,0,269563,261665.5,7897.5,246076,21900,0,24351,93127,0,0,91972.5,4916.5,9809,1393757,458791,0,194281,237116,161986,138333.5,203250,1,4,7.6,9.1,119.4,4,,,
2379,1,3,2,0,0,1,0,2,1,1,1,45,6,1,J,2,1,0,0,0,0,0,0,2,1,1,1300,0,0,84,1,3064.7141,10,10,,10,10,,8,4109294.667,3316766,122337.6667,855.6666667,7604,14193.66667,6800.666667,9903.666667,1556,0,2899,19939.66667,665.6666667,17295.66667,4879.333333,0,17314.33333,2312.333333,12637,988.6666667,2492,333.3333333,119,214.3333333,54422,43314.33333,476.3333333,566.6666667,7255.333333,2809.666667,0,54153,0,262,12815.33333,22831,18244.66667,159500.3333,0,0,0,0,151872,0,728.6666667,1794.666667,5105.333333,0,146446.6667,48204.66667,3488,0,62175.33333,1128.666667,3333.333333,28116.66667,1936934.667,1756738.333,0,101176.3333,53084.66667,1009.666667,0,0,24926.33333,0,64202,0,38451,25751,82373,0,0,0,0,285.6666667,0,0,0,0,0,0,9114.333333,10500,1714.333333,29570.33333,309.6666667,15716.66667,0,3257,11904.66667,323435.3333,0,0,0,0,323435.3333,323435.3333,0,0,229735.6667,182593,47143,142892.6667,56190.33333,0,35875,5695.666667,2619,0,41988.33333,0,523.6666667,792528.3333,186595.3333,120934.6667,188961,103202,48604.66667,138040.3333,6190.333333,1,5,3.7,2.5,67.3,5,,,
2398,1,4,1,0,0,0,1,2,1,1,1,46,6,1,J,2,1,0,0,0,0,0,0,2,1,1,784,0,0,85,1,901.188,8,8,,8,8,,7,1447872.75,1084715.25,245295,6007.5,8661.25,20696.25,61107.5,12833.75,19112.5,0,6206.25,18420,0,18641.25,23391.25,1397.5,13968.75,2552.5,11403.75,12061.25,8833.75,0,0,0,79948.75,42670,5691.25,8365,0,23222.5,0,37596.25,0,0,6190,18426.25,12980,59293.25,21100,2242.5,0,6742.5,3112.5,3725,3691.25,5890,12789.5,0,70261.25,14476.25,3798.75,35625,16361.25,0,0,0,147769.75,0,0,1500,42447.25,0,0,762.5,103060,0,21842,0,1425,20417,55601.75,0,0,18974.25,0,0,0,0,0,0,0,2500,0,0,0,4625,0,15350,812.5,13340,0,181250,0,0,0,0,181250,181250,0,0,97287.5,97287.5,0,88570,12875,1800,25790,0,11712.5,0,33392.5,0,3000,363157.5,162370,0,76917.5,59832.5,0,22500,41537.5,1,5,22.6,5.1,22.7,5,,,
2406,1,1,1,0,0,0,1,1,3,1,1,36,6,1,J,2,1,0,0,0,0,0,0,4,1,4,340,45000,0,33,2,3402.393,5,4,,5,4,,4,2168686,1475041,251075,0,11520,11075,24667,28970,4315,13158,2527,32865,782,37983,6910,2997,25183,3112,21475,2833,20703,1690,1690,0,37702,25000,0,8332,2720,1650,0,78402,0,0,8208,6000,64193,14175,0,0,0,8333,0,0,0,167,5675,0,205553,114553,0,65167,25833,0,0,0,227413,0,0,49630,71667,28567,67683,9867,0,0,66372,0,2667,63705,132740,0,0,0,0,0,0,0,0,9167,0,0,10500,0,27792,82100,2500,0,0,682,0,0,0,0,0,0,0,0,0,0,246582,246582,0,213338,32167,0,19382,5833,0,0,155956,0,0,693645,181088,0,146583,138632,24842,152500,50000,1,3,17,9,52.9,3,,,
2446,1,2,2,0,0,1,0,1,1,1,1,31,6,1,J,2,1,0,0,0,0,0,0,4,1,1,630,0,0,51,1,3382.8064,7,6,,6,6,,5,1827834.5,1379561,179959.5,6661,8951,16173.5,15223.5,8404.5,1605.5,833.5,1480,15245,606.5,23375,14866,261,33006.5,2735,7152,8937,14443,380.5,380.5,0,94183,73272.5,12674.5,3322,0,4914,0,44882,0,4723,8853.5,5000,26306,117131.5,21049,278,0,9948.5,56580.5,4444.5,9379.5,5217,10235,0,68550,37098,5477,0,25974.5,0,0,0,211348.5,0,0,23522,39833.5,30434,12595.5,8563.5,96044.5,355.5,77048.5,0,17567,59481,85837.5,2819.5,0,300,0,0,10747,0,0,2923,553,666.5,0,0,4205.5,47574,0,8950.5,0,3432,3666.5,0,0,0,0,0,0,0,0,0,341066,336195.5,4870.5,159173.5,7666.5,0,32545,1943,63313,0,53212,494.5,0,448273.5,35053,0,41390.5,87440,149825.5,81111,53453.5,1,2,13,6.2,47.7,2,,,
